libId,algn_seg_with_mult_algn,aligned,alignment_not_unique,ambiguous,bad_cycles,category,coding_bases,correct_strand_reads,estimated_library_size,fastq_total_reads,ignored_reads,incorrect_strand_reads,intergenic_bases,intronic_bases,library,mean_read_length,median_3prime_bias,median_5prime_bias,median_5prime_to_3prime_bias,median_cv_coverage,no_feature,not_aligned,pct_adapter,pct_chimeras,pct_coding_bases,pct_correct_strand_reads,pct_intergenic_bases,pct_intronic_bases,pct_mrna_bases,pct_pf_reads,pct_pf_reads_aligned,pct_reads_aligned_in_pairs,pct_ribosomal_bases,pct_usable_bases,pct_utr_bases,percent_duplication,pf_aligned_bases,pf_bases,pf_hq_aligned_bases,pf_hq_aligned_q20_bases,pf_hq_aligned_reads,pf_hq_error_rate,pf_hq_median_mismatches,pf_indel_rate,pf_mismatch_rate,pf_noise_reads,pf_reads,pf_reads_aligned,read_pair_duplicates,read_pair_optical_duplicates,read_pairs_examined,reads_aligned_in_pairs,reads_aligned_sam,reads_with_mult_align,ribosomal_bases,strand_balance,too_low_aQual,total_reads,unmapped_reads,unpaired_read_duplicates,unpaired_reads_examined,utr_bases,mapped_reads_w_dups
lib68811_AAAM5GYM5,98.6,73.9,866078,408152,0.0,FIRST_OF_PAIR,290210146.0,3075722.0,10869126.0,7152408.0,0.0,3070878.0,32403816.0,86421116.0,Unknown Library,56.626768,0.855055,0.566106,0.676022,0.384286,909962,0,0.0,0.005124,0.504801,0.500394,0.056364,0.150324,0.788417,1.0,0.992373,0.994783,0.004965,0.78218,0.283615,0.260633,574899898.0,579483402.0,274321128.0,269858008.0,4838375.0,0.001848,0.0,0.000114,0.001925,0.0,5125156.0,5086064.0,1749058.0,0.0,6808590.0,5059532.0,5287871.0,5214338.0,2854510.0,0.499873,0,5125156.0,121571.0,82658.0,121590.0,163050423.0,0.9689296248200606
lib68812_AAAM5GYM5,98.7,74.4,814115,347133,0.0,FIRST_OF_PAIR,255181686.0,2659459.0,10190104.0,6422458.0,0.0,2662047.0,41499070.0,84825603.0,Unknown Library,56.611747,0.826239,0.555514,0.685578,0.383001,986975,0,0.0,0.005168,0.490276,0.499757,0.079731,0.162974,0.751936,1.0,0.992512,0.994348,0.005437,0.74601,0.26166,0.250661,520485281.0,524619747.0,248523549.0,244515194.0,4384552.0,0.001895,0.0,0.000116,0.001989,0.0,4641733.0,4606976.0,1502707.0,0.0,6083645.0,4580938.0,4780142.0,4716121.0,2829690.0,0.499829,0,4641733.0,109981.0,72021.0,110000.0,136190046.0,0.9643729861682241
lib68813_AAAM5GYM5,98.5,74.0,701247,365043,0.0,FIRST_OF_PAIR,251108317.0,2647110.0,8853135.0,5840877.0,0.0,2649438.0,16650533.0,58179071.0,Unknown Library,56.670647,0.846404,0.581703,0.677117,0.408951,557723,0,0.0,0.006173,0.536213,0.49978,0.035555,0.124235,0.835147,1.0,0.992555,0.994163,0.005135,0.827801,0.298934,0.261201,468299577.0,472455117.0,223360781.0,219696022.0,3940109.0,0.001802,0.0,0.000107,0.001865,0.0,4178462.0,4147352.0,1426428.0,0.0,5549571.0,4123143.0,4323100.0,4257048.0,2404935.0,0.500345,0,4178462.0,108543.0,74607.0,108562.0,139990551.0,0.9687129175978196
lib68814_AAAM5GYM5,98.5,75.9,682019,359409,0.0,FIRST_OF_PAIR,249847574.0,2572274.0,9424615.0,5566570.0,0.0,2580510.0,18910485.0,56420284.0,Unknown Library,56.597042,0.842856,0.551811,0.67051,0.410035,570135,0,0.0,0.004088,0.544375,0.499201,0.041203,0.12293,0.831584,1.0,0.992022,0.994243,0.004339,0.824539,0.287209,0.238728,458962413.0,462883438.0,218496883.0,214668861.0,3856392.0,0.001759,0.0,9.6e-05,0.001828,0.0,4097658.0,4064968.0,1236876.0,0.0,5278440.0,4041564.0,4223447.0,4160342.0,1991319.0,0.49969,0,4097658.0,105658.0,71696.0,105673.0,131818061.0,0.9672227242269477
lib68815_AAAM5GYM5,98.5,75.4,764945,408193,0.0,FIRST_OF_PAIR,288694886.0,2924148.0,10024216.0,6137859.0,0.0,2923458.0,16906693.0,50836198.0,Unknown Library,56.70015,0.835508,0.573494,0.690183,0.412906,501483,0,0.0,0.003991,0.574649,0.500059,0.033653,0.10119,0.860747,1.0,0.993053,0.994626,0.004466,0.853425,0.286099,0.246314,502384810.0,506695492.0,238909554.0,235079111.0,4212809.0,0.001707,0.0,9.4e-05,0.001781,0.0,4478439.0,4447327.0,1411631.0,0.0,5835057.0,4423426.0,4626533.0,4557614.0,2243507.0,0.500071,0,4478439.0,112213.0,78895.0,112228.0,143731573.0,0.968951062577358
lib68816_AAAM5GYM5,98.6,74.7,810770,332242,0.0,FIRST_OF_PAIR,236919336.0,2474213.0,9318640.0,5925500.0,0.0,2473504.0,27380794.0,83662133.0,Unknown Library,56.670148,0.826149,0.561645,0.683465,0.411677,852144,0,0.0,0.004988,0.49342,0.500072,0.057025,0.174239,0.76311,1.0,0.992944,0.99376,0.005703,0.756781,0.26969,0.253205,480157196.0,484172910.0,228436787.0,224785351.0,4028847.0,0.001776,0.0,0.000105,0.001849,0.0,4283061.0,4252841.0,1404764.0,0.0,5631068.0,4226304.0,4428583.0,4368440.0,2738379.0,0.499835,0,4283061.0,106084.0,68970.0,106102.0,129493537.0,0.9682170280988946
lib68817_AAAM5GYM5,98.6,74.7,847526,375993,0.0,FIRST_OF_PAIR,267376058.0,2704864.0,9904415.0,6366299.0,0.0,2708495.0,35165401.0,79559990.0,Unknown Library,56.698728,0.827399,0.566182,0.69655,0.415959,886025,0,0.0,0.005429,0.518492,0.499665,0.068192,0.154282,0.772169,1.0,0.993214,0.994418,0.005435,0.765556,0.253677,0.256247,515679951.0,520134212.0,245429026.0,241751758.0,4328953.0,0.001782,0.0,9.9e-05,0.001875,0.0,4597582.0,4566384.0,1534079.0,0.0,6074975.0,4540896.0,4753529.0,4689045.0,2802648.0,0.500099,0,4597582.0,109017.0,73167.0,109035.0,130816055.0,0.971366566351973
lib68818_AAAM5GYM5,98.7,74.1,640085,290568,0.0,FIRST_OF_PAIR,194730203.0,2020452.0,7169708.0,4575167.0,0.0,2009763.0,19482309.0,47001659.0,Unknown Library,56.631079,0.820164,0.56341,0.70321,0.406693,500727,0,0.0,0.005372,0.529275,0.501326,0.052953,0.12775,0.812737,1.0,0.992531,0.994778,0.006654,0.804763,0.283462,0.252427,367918925.0,371564337.0,174122160.0,171379719.0,3076579.0,0.002021,0.0,0.00013,0.002095,0.0,3285623.0,3261084.0,1074491.0,0.0,4318546.0,3244055.0,3391899.0,3348379.0,2448247.0,0.499902,0,3285623.0,75553.0,50329.0,75568.0,104291102.0,0.960427018292447
lib68819_AAAM5GYM5,98.4,74.0,1097311,481759,0.0,FIRST_OF_PAIR,345680069.0,3532603.0,11563376.0,7853422.0,0.0,3529129.0,22681088.0,78437570.0,Unknown Library,56.723109,0.848223,0.574283,0.676725,0.40411,758630,0,0.0,0.004415,0.553198,0.500246,0.036297,0.125525,0.834333,1.0,0.993306,0.994048,0.003901,0.826926,0.281134,0.268018,624875594.0,630472484.0,296653937.0,292101236.0,5230530.0,0.001685,0.0,9.5e-05,0.001754,0.0,5574803.0,5537484.0,1969148.0,0.0,7473674.0,5504526.0,5808576.0,5714649.0,2437818.0,0.500118,0,5574803.0,152873.0,108838.0,152898.0,175673960.0,0.9711145026970408
lib68820_AAAM5GYM5,98.6,74.9,890215,425532,0.0,FIRST_OF_PAIR,307308872.0,3117956.0,10382486.0,6648908.0,0.0,3114378.0,17311399.0,59042010.0,Unknown Library,56.602225,0.835605,0.576433,0.703442,0.406729,568244,0,0.0,0.004171,0.570251,0.500287,0.032124,0.10956,0.85479,1.0,0.99207,0.995222,0.003574,0.847312,0.284539,0.255964,538901298.0,543657827.0,255608031.0,251253464.0,4512282.0,0.001747,0.0,9.4e-05,0.00182,0.0,4809197.0,4771058.0,1598145.0,0.0,6346406.0,4748261.0,4979363.0,4908004.0,1925970.0,0.500223,0,4809197.0,116290.0,82377.0,116307.0,153338687.0,0.9719961533533025
lib68821_AAAM5GYM5,98.7,72.4,1129087,374950,0.0,FIRST_OF_PAIR,271857540.0,2872898.0,9790769.0,7186472.0,0.0,2866377.0,29782980.0,101935989.0,Unknown Library,56.645774,0.840852,0.583122,0.70469,0.402322,1009989,0,0.0,0.004777,0.486327,0.500568,0.053279,0.182354,0.759159,1.0,0.99276,0.994756,0.005283,0.752288,0.272832,0.283953,559001613.0,564107071.0,264230757.0,260178436.0,4664848.0,0.001807,0.0,0.000109,0.001896,0.0,4987835.0,4951723.0,1921621.0,0.0,6847378.0,4925757.0,5203850.0,5137204.0,2953286.0,0.500456,0,4987835.0,116010.0,78382.0,116044.0,152513534.0,0.968962517352047
lib68822_AAAM5GYM5,99.0,74.5,504372,144362,0.0,FIRST_OF_PAIR,101731274.0,1092425.0,5971275.0,3460505.0,0.0,1092579.0,43691181.0,73048192.0,Unknown Library,56.544017,0.797909,0.594132,0.726302,0.392544,939410,0,0.0,0.005572,0.361902,0.499965,0.155429,0.259864,0.577411,1.0,0.992724,0.992914,0.00742,0.571996,0.215509,0.228585,281101476.0,283762966.0,133479188.0,131329889.0,2361089.0,0.002007,0.0,0.000119,0.002146,0.0,2514219.0,2495925.0,723494.0,0.0,3201733.0,2478239.0,2577367.0,2551708.0,2085858.0,0.499707,0,2514219.0,55758.0,29501.0,55793.0,60579868.0,0.9413441101804505
lib68823_AAAM5GYM5,98.8,76.1,567231,186653,0.0,FIRST_OF_PAIR,135007877.0,1400840.0,7196246.0,3871888.0,0.0,1401985.0,40871807.0,71079929.0,Unknown Library,56.615255,0.774283,0.620826,0.830163,0.405283,893101,0,0.0,0.005208,0.421311,0.499796,0.127546,0.221815,0.644514,1.0,0.993541,0.991489,0.006219,0.638123,0.223203,0.216057,320447190.0,323656203.0,152377970.0,149941580.0,2694795.0,0.001985,0.0,0.000113,0.002127,0.0,2869684.0,2851148.0,763627.0,0.0,3590508.0,2826881.0,2947331.0,2912546.0,1992732.0,0.500544,0,2869684.0,72437.0,39908.0,72462.0,71524736.0,0.9460423442000389
